Index	Vgate	Vsource	Vdrain	Vsubs	Idrain	IdrainPerWg
1	 0 V	 0 V	 0 V	 0 V	 17.990 pA	 1.499166667 pA/um
2	 0 V	 0 V	 100.0 mV	 0 V	 202.920 pA	 16.91000000 pA/um
3	 0 V	 0 V	 200.0 mV	 0 V	 200.850 pA	 16.73750000 pA/um
4	 0 V	 0 V	 300.0 mV	 0 V	 180.730 pA	 15.06083333 pA/um
5	 0 V	 0 V	 400.0 mV	 0 V	 213.760 pA	 17.81333333 pA/um
6	 0 V	 0 V	 500.0 mV	 0 V	 216.290 pA	 18.02416667 pA/um
7	 0 V	 0 V	 600.0 mV	 0 V	 245.050 pA	 20.42083333 pA/um
8	 0 V	 0 V	 700.0 mV	 0 V	 261.170 pA	 21.76416667 pA/um
9	 0 V	 0 V	 800.0 mV	 0 V	 276.750 pA	 23.06250000 pA/um
10	 0 V	 0 V	 900.0 mV	 0 V	 259.850 pA	 21.65416667 pA/um
11	 0 V	 0 V	 1.0000 V	 0 V	 263.510 pA	 21.95916667 pA/um
12	 0 V	 0 V	 1.1000 V	 0 V	 263.560 pA	 21.96333333 pA/um
13	 0 V	 0 V	 1.2000 V	 0 V	 285.500 pA	 23.79166667 pA/um
14	 0 V	 0 V	 1.3000 V	 0 V	 303.100 pA	 25.25833333 pA/um
15	 0 V	 0 V	 1.4000 V	 0 V	 298.600 pA	 24.88333333 pA/um
16	 0 V	 0 V	 1.5000 V	 0 V	 301.950 pA	 25.16250000 pA/um
17	 0 V	 0 V	 1.6000 V	 0 V	 308.600 pA	 25.71666667 pA/um
18	 0 V	 0 V	 1.7000 V	 0 V	 322.710 pA	 26.89250000 pA/um
19	 0 V	 0 V	 1.8000 V	 0 V	 340.650 pA	 28.38750000 pA/um
20	 0 V	 0 V	 1.9000 V	 0 V	 345.450 pA	 28.78750000 pA/um
21	 0 V	 0 V	 2.0000 V	 0 V	 333.620 pA	 27.80166667 pA/um
22	 0 V	 0 V	 2.1000 V	 0 V	 343.920 pA	 28.66000000 pA/um
23	 0 V	 0 V	 2.2000 V	 0 V	 353.560 pA	 29.46333333 pA/um
24	 0 V	 0 V	 2.3000 V	 0 V	 379.310 pA	 31.60916667 pA/um
25	 0 V	 0 V	 2.4000 V	 0 V	 389.880 pA	 32.49000000 pA/um
26	 0 V	 0 V	 2.5000 V	 0 V	 380.930 pA	 31.74416667 pA/um
27	 500.00 mV	 0 V	 0 V	 0 V	 -554.750 pA	 -46.22916667 pA/um
28	 500.00 mV	 0 V	 100.0 mV	 0 V	 147.110 nA	 12.25916667 nA/um
29	 500.00 mV	 0 V	 200.0 mV	 0 V	 169.750 nA	 14.14583333 nA/um
30	 500.00 mV	 0 V	 300.0 mV	 0 V	 186.120 nA	 15.51000000 nA/um
31	 500.00 mV	 0 V	 400.0 mV	 0 V	 200.880 nA	 16.74000000 nA/um
32	 500.00 mV	 0 V	 500.0 mV	 0 V	 214.610 nA	 17.88416667 nA/um
33	 500.00 mV	 0 V	 600.0 mV	 0 V	 227.620 nA	 18.96833333 nA/um
