hashtag_text,states
131stGA,Ohio
abortion,Ohio
abortions,Alaska
AK,Alaska
akbudget,Alaska
akearthquake,Alaska
AKgov,Alaska
akleg,Alaska
akquake,Alaska
AKsen,Alaska
AKSOS,Alaska
aksots,Alaska
Alaska,Alaska
alkeg,Alaska
Anchorage,Alaska
AwarenessMonth,Ohio
bacontaco,Alaska
Benchists,Alaska
birthcontrol,Alaska
budget,Ohio
Cincy,Ohio
Cleveland,Ohio
CriminalJustice,Ohio
Cuyahoga,Ohio
DeathPenalty,Ohio
debtfree,Ohio
dedication,Ohio
Democrats,Ohio
DogsOfTheSenate,Alaska
DoingOurHomeworkOH,Ohio
earthquake,Alaska
eatlocal,Alaska
economy,Ohio
Education,Ohio
EqualPayCantWait,Alaska
Fairbanks,Alaska
FairbanksFour,Alaska
FiestaBowl,Ohio
FredMeyer,Alaska
Friedrichs,Ohio
funfacts,Alaska
fy2017,Alaska
GetOnIt,Ohio
giddyup,Alaska
GoBucks,Ohio
GOPdebate,Ohio
HappyNewYear,Ohio
HB294,Ohio
highered,Ohio
HolocaustMemorialDay,Ohio
HolocaustRemembrance,Ohio
HoneyCripps,Alaska
HTAD16,Ohio
HumanTrafficking,Ohio
IceWorld,Alaska
ItCanWait,Ohio
jobs,Ohio
Juneau,Alaska
JusticeReform,Ohio
ktva,Alaska
LakeErie,Ohio
Lobbyists,Alaska
MarchForLife,Ohio
Marijuana,Ohio
MartinLutherKingJr,Ohio
MedicalMarijuana,Ohio
MedicinalMarijuana,Ohio
MLKCommission,Ohio
MLKDay,Ohio
MLKDay2016,Ohio
MLKDayOfService,Ohio
Monday,Alaska
newspaper,Alaska
NewYearsDay,Ohio
NordicNats16,Alaska
NotOK,Alaska
nottheOnion,Ohio
NYE2016,Ohio
ObamasFault,Alaska
Ohio,Ohio
OhioSenate,Ohio
OHLeg,Ohio
OHStandsWithPP,Ohio
oscarnoms,Ohio
PlannedParenthood,Ohio
poverty,Ohio
powerball,Ohio
PowerPointSlidesOutOfContext,Alaska
priorities,Ohio
prolife,Alaska
RockTheVote,Alaska
RoevWade,Ohio
Russia,Alaska
SB153,Alaska
SB224,Ohio
SB23,Alaska
Sebring,Ohio
service,Ohio
SeveranceTax,Ohio
StopCrimeTheFirstTime,Ohio
teachers,Ohio
That,Alaska
Toledo,Ohio
union,Ohio
veterans,Ohio
VoteANC2016,Alaska
water,Ohio
Whitehorse,Alaska
Winter,Alaska
women,Ohio
WTF,Alaska
yklife,Alaska
