screen_name,state,URLs
AZSenateGOP,Arizona,"http://tinyurl.com/h7hsacq,http://tinyurl.com/h8lbety,http://tinyurl.com/hgtttdw,http://tinyurl.com/hmvmbgu,http://tinyurl.com/jrx8sjx"
ColoSenGOP,Colorado,"http://bit.ly/1R7zZLw,http://blogs.denverpost.com/thespot/2016/01/11/what-you-need-to-know-about-the-colorado-legislature-in-3-graphics/124405/,http://blogs.denverpost.com/thespot/2016/01/14/hickenloopers-wedding-sendoff-state-of-the-state-address/124494/,http://blogs.denverpost.com/thespot/2016/01/27/republicans-gun-advance-bill-easing-concealed-firearm-rules-in-colorado/124762/,http://co.chalkbeat.org/2016/01/27/budget-panel-offers-a-bit-of-extra-cash-for-schools/#.VqqOOv9dHIX,http://coloradoga.granicus.com/MediaPlayer.php?view_id=43&event_id=3663,http://coloradoga.granicus.com/MediaPlayer.php?view_id=43&event_id=3703,http://coloradoga.granicus.com/MediaPlayer.php?view_id=85&event_id=3663,http://coloradopeakpolitics.com/2016/01/11/frank-ly-wrong-denver-post-tries-to-paint-senate-as-split-using-lefts-talking-points/,http://coloradopeakpolitics.com/2016/01/22/water-war-bennet-sides-with-obama-against-colorado-water-wotus/,http://completecolorado.com/pagetwo/2016/01/24/hickenlooper-polling-shows-people-would-r"
FloridaGOP,Florida,"http://abcnews.go.com/Politics/clintons-advantage-hits-campaign-low-lags-trust-leading/story?id=36524847,http://americarisingpac.org/clinton-continues-to-lie-to-iowa-voters-on-bipartisan-record/,http://americarisingpac.org/the-clinton-campaign-is-really-worried-about-iowa/,http://bit.ly/1mZEDiy,http://bit.ly/1OGKtuV,http://bit.ly/1PFBhYr,http://bit.ly/1PpuaZU,http://bit.ly/gopprespoll,http://dailycaller.com/2016/01/26/clinton-chief-of-staff-lost-her-personal-blackberry-which-contained-classified-emails/,http://dailycaller.com/2016/01/29/msnbc-fbis-hillary-investigation-far-more-advanced-than-public-knows/,http://florida.gop/foxbusdebate114,http://florida.gop/key_moments_dem_townhall,http://florida.gop/questionsforhillary,http://florida.gop/stop_hillary,http://floridapolitics.com/archives/197615-more-than-23000-sign-petition-calling-for-dnc-to-remove-debbie-wasserman-schultz-as-chair,http://floridapolitics.com/archives/199265/florida-republicans-to-work-on-minority-millennial-outreach,http://freebeacon.com/pol"
FLSenateGOP,Florida,"http://bit.ly/1kPOe9r,http://bit.ly/1mIvE4t,http://bit.ly/1ZPQNM2,http://bit.ly/LhQ81C,http://fb.me/751UvzGrK,http://floridapolitics.com/archives/198224-vocational-rehab-performance-improvement-plan-clears-higher-education-committee,http://fw.to/Mkfoovb,http://www.fox13news.com/news/local-news/67283688-story,http://www.tcpalm.com/news/politics/local/senate-passes-negron-bill-to-prohibit-state-business-with-anti-israel-companies-29cd6f54-ac59-477f-e-366091371.html,https://twitter.com/lizbethkb/status/689098518145961984"
gophawaii,Hawaii,"http://bit.ly/1lpk0KK,http://bit.ly/1lQWnv1,http://dlvr.it/DJqkym,http://eepurl.com/bM6c6z,http://eepurl.com/bMOH71,http://fb.me/40bKq6f68,http://fxn.ws/1IZA1mn,http://goo.gl/broqIX,http://goo.gl/MXlBBB,http://goo.gl/rTYgOx,http://gophawaii.com/?page_id=822,https://twitter.com/FoxNews/status/692120168525361153,https://twitter.com/FoxNews/status/692120255032852482,https://twitter.com/HawaiiHouseGOP/status/687439110919696386,https://youtu.be/hJgoR2CFefA"
gov_gilmore,na,"http://53eig.ht/1KdV8lc,http://abcn.ws/1H3IxIB,http://bit.ly/1RxGNkp,http://bostonheraldradio.com,http://go.usa.gov/cn7Xw,http://livestream.com/GFV/SCTEAPARTY,http://nation.foxnews.com/2016/01/28/google-searches-jim-gilmore-spike-700-percent,http://nbcnews.to/1lXMj3b,http://ow.ly/WNCy7,http://seacoastonline.com/article/20160122/NEWS/160129579,http://southcarolinateapartycoalition.com,http://tinyurl.com/GilmoreOnIssues,http://tun.in/seq5p,http://tunein.com/radio/The-Alan-Colmes-Show-p20005/,http://washex.am/1Q4wBvx,http://washex.am/1ROshWU,http://wpo.st/_8a71,http://www.c-span.org/video/?401497-14/presidential-candidate-jim-gilmore-republican-jewish-coalition-presidential-forum,http://www.c-span.org/video/?403550-8/firstinthenation-presidential-town-hall-james-gilmore,http://www.foxnews.com/live-coverage/fox-news-google-gop-debate,http://www.gilmoreforamerica.com,http://www.gilmoreforamerica.com/barnstorms/,http://www.gilmoreforamerica.com/issues/restoring-americas-economy/,http://www.gilmoreforamerica.com/vet"
HeatherCarterAZ,Arizona,"http://fb.me/3lxDGpaPl,http://fb.me/4oTieJETf,http://fb.me/6X72wd2HE,https://shar.es/16G4Sn,https://twitter.com/arma_docs/status/693498090469261316,https://twitter.com/uaphxfamilymed/status/692417718532902912"
IASenateGOP,Iowa,"http://iasen.gop/011116,http://iasen.gop/1OmCV3f"
IdahoGOP,Idaho,"http://580kido.com/gop-debate-watch-party-this-thursday-night/,http://danaradio.com,http://fb.me/2fn3rjWMC,http://frontloading.blogspot.com/2016/01/2016-republican-delegate-allocation_25.html?m=1#.VqakMQtWXMU.twitter,http://gop.cm/1O6eViH,http://hill.cm/Un0O6dX,http://idahoptv.org/insession/,http://LeadRight2016.com,http://nyti.ms/1kA9u2Z,http://politi.co/1KJ6VCQ,http://wapo.st/1KIUebj,http://washex.am/20b4l4Z,http://www.buzzfeed.com/claudiakoerner/inspector-general-clinton-emails-contained-information-beyon,http://www.idgop.org/page/winter-meeting,https://gop.com/continuing-the-dream-by-committing-to-community/,https://twitter.com/bretbaier/status/687101292334854145,https://twitter.com/foxnews/status/692121103913914368,https://twitter.com/idahogop/status/685608892324159489,https://twitter.com/injo/status/691833385048805384,https://twitter.com/jamilsmith/status/691825725440135169,https://twitter.com/naghmehabedini/status/688371354165325826,https://twitter.com/randpaul/status/691815266632798208,https://vine.co"
ILSenateGOP,Illinois,"http://cityclub-chicago.org/live,http://fb.me/24gvc3JFu,http://fb.me/2gAVtaMQ9,http://fb.me/2HpPtk2yb,http://fb.me/2IHVhbeaF,http://fb.me/2tlnFqbT1,http://fb.me/2uy9R0bcA,http://fb.me/3gxK1flND,http://fb.me/3h9rBocDS,http://fb.me/3i0bMNNkJ,http://fb.me/3I7Bp74vf,http://fb.me/4nKt5GOQo,http://fb.me/5Cf7GuP1H,http://fb.me/75oX5mItF,http://fb.me/76vVHDYGo,http://fb.me/7EhLNeWjQ,http://fb.me/7MS2BkOHW,http://fb.me/7sJPYoTZC,http://fb.me/84v333vDT,http://fb.me/Uc8Lq8Os,http://www.wandtv.com/story/30960527/senate-meets-no-ground-made-on-new-state-budget"
